OBJECTID,ATTRIBUTE,WETLAND_TYPE,ACRES,GLOBALID,ShapeSTArea,ShapeSTLength
168,PSS1C,Freshwater Forested/Shrub Wetland,1.27431746,{8A581384-8626-40FB-9FAA-55A7FEA84B2D},5152.868515,382.6808415
169,PEMCd,Freshwater Emergent Wetland,0.23776989,{A852E8D4-F563-4248-9EFC-DA9744BEA75A},961.4517975,115.1212463
170,PSS1C,Freshwater Forested/Shrub Wetland,2.15951596,{EAA48C60-54E3-4F26-BE8A-778821BA5C4E},8732.80658,374.4035456
171,PSS/EMB,Freshwater Forested/Shrub Wetland,14.0795265,{0F617772-18CD-4BA1-9CC8-930BE3410C74},56969.79419,1225.71163
172,PEMB,Freshwater Emergent Wetland,9.67439943,{CFBBC405-F95B-493D-A0C5-AA5C1D25993E},39145.05997,1196.540813
173,PEMA,Freshwater Emergent Wetland,0.60634896,{42E35910-869D-46A8-B75C-7BEFE6B3821F},2451.934349,194.1237492
174,PUBGx,Freshwater Pond,0.16969652,{4C64B8AA-C543-469A-9958-2A9D0916E35C},686.2151489,103.5799977
175,PSS1C,Freshwater Forested/Shrub Wetland,0.29280433,{EFD45523-73AD-42AD-B72F-376362A66B89},1184.288055,279.5590073
176,PUBF,Freshwater Pond,0.37271858,{632FD105-AE56-4BA6-ACB1-E359B1257060},1507.142197,193.7218144
177,PFO1A,Freshwater Forested/Shrub Wetland,1.28038436,{4913AB6C-6149-4462-B9C0-789D26A7A425},5177.739075,295.9688112
178,PFO1A,Freshwater Forested/Shrub Wetland,1.16087303,{9C4F5E52-D7A1-4D24-8A6C-4909246842AA},4694.198929,265.9402013
179,PSS1C,Freshwater Forested/Shrub Wetland,0.38051462,{312257AD-8DA0-4E5E-AB70-EFE54575F7A2},1538.686958,146.0470587
180,PSS/EMB,Freshwater Forested/Shrub Wetland,245.610202,{2B79C853-AC1B-4D84-A069-7D0CB8B06C7B},993421.4636,13046.01252
181,PSS/EMC,Freshwater Forested/Shrub Wetland,10.76022252,{CB21A82F-5CA1-41D0-9867-8D12CB8C5D60},43514.65509,1236.730796
182,PUBG,Freshwater Pond,0.15450869,{C2D5E7A6-B192-4CC7-8B44-87A54D77644E},624.8049164,93.57662658
183,PFOB,Freshwater Forested/Shrub Wetland,1.89944877,{83E5DF1F-F324-4493-8C1C-5CA8E248D5B4},7681.080322,333.2632955
